m,f
0,0
0,0
0,0
0,0
473,505
274,308
39,40
6,5
6,4
0,4
1,5
0,1
5,4
0,3
2,1
1,0
4,6
0,3
1,2
0,2
9,4
48,44
132,196
169,202
90,124
54,56
42,35
16,8
12,6
30,27
54,49
33,58
8,14
0,2
4,5
3,8
7,6
5,2
19,26
64,88
129,157
88,130
75,97
71,72
44,51
16,14
0,4
7,11
40,33
47,67
25,32
0,5
