0,1,2,3,4,5,6,7,8,9,10
257,26,65,72,19,15,39,61,21,66,40
48,0,12,8,0,0,5,9,0,56,3
1,121,6,57,39,45,68,51,0,2,6
0,47,71,0,4,56,2,2,0,0,40
1,0,2,2,51,1,2,1,47,0,1
2,1,4,2,3,8,13,0,4,2,1
0,0,2,2,15,1,1,7,52,1,4
0,0,1,1,0,0,1,0,0,0,1
1,0,0,0,3,0,0,0,0,1,2
1,1,0,2,0,0,0,0,2,0,12
0,1,0,4,2,0,1,1,0,0,1
0,0,2,0,1,1,1,2,5,0,1
0,0,1,0,1,1,0,0,0,0,4
2,0,1,1,0,0,0,1,1,3,0
1,2,0,2,0,1,0,2,1,0,1
0,1,3,0,0,0,1,0,0,1,0
0,0,1,1,1,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,0
0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,2,0
0,1,1,1,0,1,0,1,0,1,3
1,1,0,2,2,0,0,0,0,21,0
0,3,1,0,1,2,0,0,0,38,1
0,2,1,0,1,1,0,1,0,31,1
1,7,1,1,0,0,2,0,0,16,0
36,103,0,0,0,0,2,0,0,1,0
137,5,6,1,1,0,0,0,0,7,0
84,6,1,2,0,1,0,0,1,1,1
3,58,1,3,1,0,0,0,1,1,0
6,1,2,41,0,0,1,0,0,2,0
1,0,48,3,1,0,0,0,0,1,0
2,1,82,4,1,1,7,0,0,0,0
0,0,7,2,0,0,1,0,0,0,1
0,0,4,6,0,0,2,0,0,0,0
2,1,1,3,1,0,0,0,2,0,0
2,0,2,3,1,0,1,0,1,2,0
0,1,1,58,5,2,39,1,4,0,0
1,0,1,3,0,17,2,5,26,0,1
1,0,0,7,24,41,4,21,3,0,1
0,1,0,1,4,2,4,39,1,0,11
1,0,2,7,49,2,2,33,46,1,3
0,1,0,0,1,37,1,1,2,1,0
0,0,0,0,28,2,28,0,24,1,1
0,0,0,2,8,3,20,14,7,0,1
1,2,1,2,3,2,1,0,1,1,0
0,0,0,2,0,11,4,2,3,1,42
1,2,0,0,1,1,0,1,2,0,35
