0,1,2,3,4,5,6,7,8,9
2,4,5,13,14,11,8,10,5,7
1,1,4,5,4,1,4,5,7,4
0,5,7,9,8,4,3,3,3,6
0,0,3,3,2,0,1,0,2,3
0,1,2,3,2,1,7,3,3,1
2,1,0,9,5,3,8,8,3,2
0,1,0,1,1,1,3,0,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,5,1,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,2,2
1,0,0,1,1,0,0,2,0,1
1,0,2,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,2,1,0,7,0,0,0
0,0,0,0,0,0,0,0,1,0
2,1,2,1,4,0,1,0,0,0
1,0,1,2,1,2,5,3,0,0
0,0,2,1,1,0,0,2,0,2
1,1,2,3,3,1,3,1,0,1
0,0,0,1,0,0,0,0,0,0
1,1,1,4,4,2,4,1,2,2
0,1,0,2,4,1,1,0,1,2
0,0,0,0,1,0,1,0,0,1
0,0,0,0,3,0,0,0,0,0
0,0,1,2,0,0,0,1,1,1
2,2,2,4,7,7,2,3,3,3
0,2,2,1,0,1,1,0,0,0
1,0,0,1,1,1,2,2,1,2
0,1,1,0,1,0,1,0,0,0
0,0,0,5,3,0,1,4,0,0
1,0,0,0,2,0,1,1,0,0
0,0,1,0,1,0,0,0,0,0
0,0,0,1,2,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0
