0,1,2,3,4
22,17,10,5,2
41,34,15,11,5
12,10,9,1,5
7,13,6,3,2
3,5,3,1,1
1,0,0,2,0
2,1,0,0,0
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,2,1,0
1,4,0,0,0
9,8,3,4,0
7,0,2,1,0
4,8,6,1,1
8,4,2,0,1
0,3,0,0,0
3,3,1,0,3
5,5,2,0,0
14,4,9,1,0
7,3,1,1,1
6,6,5,3,0
7,10,2,4,0
1,1,0,1,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,1,0
4,2,2,0,0
3,5,5,1,1
0,0,0,0,0
1,1,2,0,0
3,2,0,0,0
3,0,3,0,0
