m,f
62,52
11,8
40,31
4,5
6,3
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
16,11
17,8
30,19
24,22
14,20
10,5
4,5
5,5
2,1
1,4
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
1,1
7,6
6,8
20,10
10,4
9,9
8,13
7,5
15,7
1,1
9,17
3,2
7,4
5,4
1,0
0,1
