0,1,2,3,4,5,6,7,8,9
85,153,153,397,358,124,191,127,60,52
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,4,1,3,4,0,3,0,0,0
8,15,11,33,18,9,7,11,0,2
2,4,6,19,13,1,11,7,2,2
7,9,7,21,20,8,9,7,2,2
4,12,6,7,19,5,7,2,1,4
6,9,13,35,39,8,10,6,2,4
0,1,0,2,6,2,0,0,2,0
9,9,11,30,21,5,23,7,5,1
1,0,0,4,2,1,0,0,0,1
0,1,0,4,2,1,0,0,0,0
0,0,0,1,2,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,0,0,2,2,0,0,0,1,0
0,1,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,2,0,2,1,0,1,0,0,0
4,4,4,14,8,1,3,1,0,1
7,15,12,28,24,6,8,7,2,1
