0,1,2,3,4,5,6,7,8,9
0,0,1,0,2,1,0,0,0,0
0,0,1,0,1,2,3,1,0,2
0,0,0,0,2,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,1,5,5,1,6,8,3,2
1,3,2,8,9,4,6,4,2,6
1,1,3,2,10,2,6,5,1,5
0,0,0,2,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0
0,0,1,5,6,2,3,5,4,1
0,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,2,0,0,0
0,0,0,0,0,1,1,2,0,0
0,0,0,0,2,0,0,3,1,2
1,0,0,0,0,0,0,0,0,0
0,1,0,4,2,1,3,6,3,5
0,0,1,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,1,0,2,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,2,1,0,0,2,0,1,0
1,0,0,0,2,1,1,2,0,1
1,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
