0,1,2,3,4
8,9,9,0,1
52,51,20,14,10
13,10,2,2,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,3,1,0,0
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,9,5,3,1
24,10,7,3,0
23,33,15,6,3
14,9,5,3,0
8,7,4,1,1
2,1,1,2,0
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,2,2,2,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,2,0,0,0
7,8,5,1,0
15,5,7,3,1
16,6,3,1,1
13,13,2,1,1
13,3,4,1,0
3,6,2,0,0
0,3,1,2,0
2,5,1,1,0
2,2,0,1,0
4,3,1,0,0
1,4,0,1,0
2,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
