0,1,2,3,4,5,6,7,8,9,10
245,135,96,16,84,79,85,40,79,70,52
48,57,63,1,8,50,41,4,6,4,41
1,1,4,0,4,5,5,3,1,3,9
0,1,0,0,1,1,0,2,4,0,1
1,2,0,68,42,2,0,0,27,3,1
2,0,0,54,2,0,0,4,6,2,1
0,0,0,4,1,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0,2,0
0,0,1,0,1,0,0,1,1,2,2
0,1,1,1,0,1,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,2,0,0,2,1,2,1
0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,2,0,0,1,0,1,2
1,0,0,0,0,1,0,2,1,0,2
0,0,2,2,1,1,0,2,1,0,5
1,0,11,2,1,15,1,2,1,1,23
0,0,36,2,0,46,2,1,2,1,37
0,0,2,0,0,26,12,61,2,30,4
0,1,62,8,20,20,32,2,21,0,21
0,3,3,16,3,15,33,6,5,5,1
0,41,29,2,0,0,21,1,57,1,5
1,94,7,2,3,5,12,2,2,1,1
0,30,2,1,52,1,0,2,25,0,1
0,2,1,0,2,0,0,0,1,0,1
0,4,1,59,32,1,1,0,0,0,1
0,1,4,6,12,0,0,1,0,1,1
1,1,1,0,1,0,0,0,3,0,4
1,0,1,30,0,0,0,0,0,0,0
0,2,0,2,1,0,1,0,0,1,2
0,0,3,2,0,1,0,0,0,2,1
0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,3,0,0,3,0,0,0
0,0,2,1,0,0,1,1,0,0,0
0,2,1,2,1,0,1,1,1,0,1
0,0,1,1,0,0,0,1,0,0,2
0,1,1,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,1,0,22
0,0,17,0,0,0,0,0,0,0,42
0,0,5,2,0,0,9,0,1,0,5
1,5,41,0,0,0,19,0,0,0,19
0,16,60,2,0,0,36,0,1,0,3
3,54,9,2,2,1,24,0,1,0,2
100,60,1,3,1,0,6,0,2,2,2
133,26,2,2,2,0,1,0,9,1,0
8,1,0,4,1,0,2,0,30,0,0
19,4,2,0,0,7,0,1,51,0,0
7,3,5,0,0,0,0,0,0,0,0
1,0,1,2,1,8,0,0,12,0,1
0,0,0,5,7,41,0,0,3,0,0
