0,1,2,3,4
13,7,5,3,0
32,28,16,6,3
14,8,7,5,1
3,2,2,1,0
0,0,1,0,0
11,4,3,3,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
8,2,1,0,0
6,11,9,2,1
16,13,9,1,0
13,10,1,1,0
7,5,10,2,1
8,6,8,1,1
3,4,1,0,0
0,1,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,2,1,0,0
8,8,2,1,0
10,14,6,3,0
6,2,1,3,0
5,2,2,0,0
1,3,1,2,0
1,3,0,1,0
3,2,1,3,0
3,1,0,1,0
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
