m,f
16,9
34,21
19,19
23,10
20,15
19,7
8,10
2,0
3,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
5,4
9,4
13,5
4,4
10,12
3,2
2,0
1,1
0,0
8,6
10,8
14,8
2,2
3,3
0,1
9,9
10,10
16,9
2,0
0,2
1,1
2,2
0,1
