0,1,2,3,4,5,6,7,8,9
53,106,109,252,237,90,120,83,34,34
9,12,14,21,26,12,10,6,3,4
25,48,46,138,116,33,68,41,23,12
3,4,5,12,9,4,8,2,3,1
4,6,1,11,22,3,11,3,1,3
1,4,0,2,3,0,1,1,0,0
0,0,0,3,0,1,0,0,1,0
1,0,0,2,2,1,0,0,1,0
0,0,0,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,3,1,1,0,0,0
0,0,2,0,2,0,1,1,0,0
0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,1,0,0
1,1,0,1,5,0,0,0,0,0
1,0,0,2,1,4,0,0,1,0
1,0,0,1,5,1,1,0,0,0
0,2,1,0,1,1,2,2,0,1
10,15,20,52,45,19,16,10,6,5
10,19,23,50,54,17,20,13,6,3
25,46,34,85,63,21,42,29,7,6
15,40,31,76,87,25,48,24,3,12
5,16,24,51,42,23,26,10,3,2
16,13,13,32,41,6,9,13,8,1
6,10,9,21,13,6,12,9,2,1
2,5,2,16,19,7,13,2,7,0
0,0,1,3,1,6,1,0,2,0
1,2,2,14,11,1,2,0,3,1
0,1,0,2,2,0,0,0,1,0
0,5,1,4,6,2,5,4,0,0
0,1,1,1,2,0,0,0,0,0
1,0,1,3,1,1,3,1,0,0
1,0,1,2,4,0,1,0,1,1
0,0,2,2,5,1,2,0,0,0
0,2,1,2,1,2,0,0,1,0
1,0,1,0,4,0,1,0,2,0
4,0,0,2,2,1,1,1,0,0
8,12,12,22,20,9,8,6,3,0
2,11,10,22,26,12,9,8,2,0
15,33,18,64,63,17,19,18,4,3
7,19,19,37,41,12,20,7,2,3
6,15,19,41,50,23,16,9,2,5
11,21,12,35,37,10,18,5,3,2
5,4,6,16,20,5,8,6,3,1
9,16,19,53,36,17,20,14,5,0
3,1,3,12,6,4,7,1,1,0
14,19,12,43,28,11,18,7,8,3
2,5,5,9,11,2,4,2,2,0
5,4,11,17,17,4,11,2,0,1
0,9,7,15,12,5,2,1,1,1
0,2,0,4,6,0,0,0,0,0
1,5,2,3,7,1,7,1,0,0
