0,1,2,3,4
7,3,2,2,0
17,12,12,0,0
21,16,6,5,2
13,7,5,2,1
7,9,9,1,0
3,2,1,1,0
5,7,6,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,1,0
4,5,0,0,0
11,15,9,0,1
18,10,4,6,0
12,15,6,4,0
7,7,2,0,0
6,3,2,2,0
2,5,2,0,0
2,2,3,0,0
3,0,2,0,0
3,1,1,0,0
3,1,1,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
