0,1,2,3,4
390,271,119,37,6
71,44,26,4,2
76,55,21,4,0
164,84,45,6,3
37,27,9,2,0
23,15,6,5,0
56,34,12,4,0
11,11,4,3,0
2,3,1,0,0
2,1,2,0,0
2,4,0,0,0
2,2,1,0,0
3,0,1,0,0
1,1,0,0,0
3,4,1,0,0
7,1,0,1,0
7,2,1,0,0
3,2,2,2,0
2,1,0,0,0
0,1,0,0,0
3,0,1,0,0
5,3,0,0,0
0,2,1,0,0
4,2,1,0,0
6,8,2,0,0
4,4,1,0,0
33,16,8,1,0
30,20,7,3,1
6,12,9,0,0
72,52,22,5,0
27,27,14,5,0
38,19,3,2,0
40,23,7,2,1
14,5,2,1,0
74,49,18,8,0
12,9,4,0,0
47,27,10,5,2
159,102,45,9,0
75,37,26,4,0
28,21,11,1,0
5,5,5,0,0
44,36,8,3,0
57,37,12,3,1
6,2,2,0,0
17,12,1,1,0
2,0,1,0,0
5,4,3,0,1
0,4,0,0,0
3,1,3,0,0
2,0,0,0,0
1,3,1,2,0
2,2,0,0,0
