0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,4,0,0,0,8,5,0,3,0,4
0,121,0,0,0,54,79,0,7,0,40
8,13,0,0,2,4,4,0,61,4,50
247,1,0,0,88,3,43,2,7,49,9
11,42,0,0,37,1,2,7,44,10,0
29,1,11,0,8,1,1,39,1,2,0
0,0,1,8,1,2,0,70,0,4,0
0,0,5,2,1,41,0,2,2,33,0
0,0,3,2,0,18,0,1,2,4,0
0,0,1,1,0,4,0,4,0,13,0
1,0,69,0,1,1,0,3,0,1,0
0,0,6,75,0,0,0,0,0,0,0
0,0,58,8,0,0,0,0,0,4,0
2,0,2,55,2,0,0,0,1,0,2
0,0,3,3,0,0,0,0,1,0,3
1,0,0,2,0,2,1,0,1,0,0
0,1,0,3,0,0,0,0,0,0,3
0,0,0,0,0,1,1,0,0,0,1
0,0,0,1,0,1,1,0,1,1,3
0,0,3,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,1,0
1,0,3,1,0,0,0,1,0,0,1
0,1,2,2,0,0,0,0,0,1,0
0,1,2,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,1,0,1,0,1
0,1,0,0,0,0,0,0,1,1,0
0,1,0,0,1,0,0,0,0,0,0
0,0,0,3,0,0,1,0,1,0,0
0,1,1,3,0,0,0,0,0,1,0
0,2,0,1,5,0,4,0,1,0,0
0,8,0,0,18,0,15,0,3,1,1
0,56,2,3,7,0,3,0,14,1,2
0,91,0,1,3,1,1,0,34,2,14
0,0,1,1,53,5,38,0,4,1,1
0,2,1,2,2,0,30,0,45,21,2
24,2,9,0,26,3,3,1,8,53,2
7,0,62,2,3,2,17,10,0,22,0
2,9,5,1,2,0,0,40,2,1,31
134,0,5,0,4,0,0,2,1,5,2
8,0,51,0,1,9,0,1,1,8,0
4,0,7,0,0,1,0,0,0,0,1
4,0,1,0,1,0,3,1,0,0,21
73,0,5,0,1,1,0,1,0,0,4
3,0,2,0,1,39,0,34,0,0,15
0,0,0,2,0,57,0,3,0,0,8
3,1,1,0,0,7,0,13,1,1,0
