0,1,2,3,4,5,6,7,8,9
1,1,0,6,4,0,0,4,1,3
2,8,7,8,13,5,14,9,4,6
2,1,4,7,6,1,7,2,2,0
1,3,4,0,5,5,1,7,5,2
1,0,1,0,1,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,0,0
0,0,1,2,4,3,7,1,0,1
0,2,1,3,4,1,3,2,0,1
1,1,1,2,8,2,1,0,2,0
1,0,3,5,13,2,3,4,0,0
0,0,0,0,1,0,1,0,0,0
2,0,2,4,3,1,1,2,1,1
1,1,0,7,5,1,1,1,0,0
0,0,0,2,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,1,0,1
0,0,1,0,0,0,1,1,1,0
0,1,1,1,0,0,0,1,0,0
0,0,1,2,1,2,0,0,2,1
0,0,2,3,3,3,3,1,0,0
0,0,1,1,2,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,1,0,3,0,1,0,0,0,0
0,2,2,0,4,1,2,0,0,0
1,0,1,1,4,1,3,1,0,0
1,2,2,2,4,0,2,1,0,0
0,1,0,1,0,0,1,1,0,0
0,0,0,2,1,2,0,0,0,0
0,1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,2,1,0,0
0,0,0,0,1,0,0,0,1,0
