0,1,2,3,4,5,6,7,8,9,10
294,126,143,80,85,75,67,81,89,83,40
13,11,2,11,8,8,5,6,4,7,3
39,77,35,67,57,62,69,57,44,45,41
1,1,0,0,0,1,3,1,2,2,4
0,2,2,5,3,6,6,2,5,2,22
0,1,1,1,1,0,3,0,0,1,1
1,1,1,0,1,1,0,0,0,0,9
1,1,3,0,0,0,0,0,1,0,1
0,0,0,2,0,1,0,2,2,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,2,0,1,0,0,1
0,0,1,1,0,0,0,1,1,0,0
0,1,1,2,0,0,1,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0
0,1,2,4,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0
4,2,12,5,4,2,0,0,0,0,0
69,20,45,52,22,7,0,1,10,1,1
10,86,6,4,2,47,0,2,52,6,3
147,8,66,61,82,6,0,15,5,34,8
11,59,3,2,3,42,0,5,49,1,27
63,2,26,17,26,3,0,52,2,41,5
0,12,0,0,0,21,0,1,8,2,51
2,1,1,2,6,0,2,43,2,37,6
1,1,1,0,2,3,14,1,2,0,13
0,0,3,0,0,0,52,10,2,4,0
1,0,1,0,1,1,2,3,0,1,2
0,0,0,0,0,0,55,0,0,0,0
1,1,1,2,1,0,4,1,1,1,0
1,1,1,3,1,1,13,1,0,1,0
0,1,1,3,0,1,1,0,0,1,0
1,1,3,1,0,2,1,1,0,1,0
0,0,1,1,0,1,1,0,1,1,1
0,0,0,4,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1,2
0,0,1,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,2,3,1,1
10,1,1,19,7,0,0,0,8,1,1
77,10,12,5,33,1,0,1,37,1,0
8,29,30,38,4,2,0,4,0,5,0
134,6,5,1,59,22,1,26,50,21,4
4,56,45,40,2,1,0,3,1,1,12
36,4,1,0,20,38,0,37,22,47,1
0,46,36,26,0,2,3,2,0,10,16
1,2,0,0,5,33,15,29,3,22,0
0,19,22,5,0,0,3,1,3,0,41
1,1,0,2,0,20,36,14,0,1,0
0,1,2,1,1,0,1,0,0,0,25
1,1,0,4,2,3,35,0,0,0,1
0,0,0,0,0,0,1,2,0,0,8
