m,f
584,579
36,42
283,310
6,9
25,30
7,2
3,11
4,3
3,6
0,0
0,2
2,3
2,2
6,1
1,4
1,0
8,1
1,0
16,13
101,127
104,114
211,221
92,110
105,132
52,43
42,60
22,16
34,37
9,3
29,26
5,8
11,12
4,4
4,7
4,3
3,3
5,2
2,0
8,5
20,28
84,93
59,61
148,181
76,89
103,103
59,82
59,51
39,55
30,45
16,15
26,21
3,8
