m,f
43,36
38,31
30,14
12,9
15,8
1,1
4,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,1
3,3
8,7
1,1
1,1
2,3
5,1
6,10
13,16
0,1
4,1
11,2
8,14
12,6
7,3
18,12
9,6
4,4
1,0
7,4
0,2
1,1
0,0
0,0
1,0
