0,1,2,3,4
35,39,19,9,4
16,18,20,5,1
16,9,2,0,3
13,9,6,2,1
2,2,3,2,0
0,1,2,1,0
1,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,1,0,0
2,1,1,0,0
8,6,2,1,1
8,8,6,1,1
13,10,4,1,1
4,5,5,1,1
7,10,0,1,4
4,3,1,1,0
2,1,1,0,0
4,1,0,0,0
3,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,1,0,0
1,2,0,0,0
2,1,1,1,1
0,1,2,0,0
3,1,3,2,1
12,2,6,3,0
9,1,1,0,0
7,4,5,0,0
11,5,0,1,1
2,4,1,1,0
5,4,1,0,0
2,4,0,0,0
2,1,1,1,0
1,2,0,1,0
1,1,0,2,0
0,0,1,0,0
0,0,0,0,0
