0,1,2,3,4
367,246,111,34,12
108,71,26,9,2
232,140,72,20,4
63,34,26,10,2
4,4,0,0,0
7,7,5,0,1
13,25,6,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,1,0
4,4,1,0,0
51,29,9,4,1
79,63,16,7,2
50,34,16,8,0
59,36,9,3,1
77,49,23,8,2
49,18,10,4,1
68,43,17,3,0
4,9,1,2,0
2,1,0,0,1
29,25,16,2,0
0,1,0,0,0
21,12,5,0,0
0,1,1,0,0
57,34,15,4,0
23,11,6,1,0
3,0,0,0,1
1,0,0,0,0
5,4,2,0,0
13,7,4,0,1
44,23,10,5,0
59,43,8,6,0
15,10,4,2,0
19,9,3,5,0
40,16,6,1,1
73,43,20,4,0
59,34,6,5,1
7,4,6,0,0
1,4,0,0,0
6,6,0,0,0
5,9,2,0,0
30,19,10,2,1
2,0,0,0,0
20,12,7,0,0
3,1,2,1,0
