0,1,2,3,4
799,532,253,77,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,2,3,1,0
66,30,12,3,0
12,6,0,0,0
47,27,11,2,2
93,47,23,6,0
21,33,14,3,1
206,143,60,19,1
19,18,11,3,1
29,26,4,2,0
10,6,0,0,0
2,3,0,0,0
0,0,0,1,0
10,7,1,0,0
76,55,30,5,1
33,18,10,1,0
14,13,9,0,0
100,54,31,7,2
28,10,9,3,0
20,11,4,1,0
26,14,6,3,1
5,3,1,0,0
22,7,2,1,0
2,1,0,0,0
3,1,0,0,0
3,1,1,1,0
2,0,2,0,0
2,2,0,0,0
0,1,1,0,0
0,1,0,1,0
