m,f
612,655
5,2
184,179
2,2
16,20
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,7
102,111
106,123
305,331
60,56
101,112
50,58
21,11
3,5
2,1
0,0
0,0
0,0
2,0
7,4
11,14
12,13
12,16
8,12
9,10
83,78
76,93
105,130
123,164
63,55
77,71
58,58
22,44
30,42
14,12
0,1
5,6
4,1
1,0
7,4
