0,1,2,3,4,5,6,7,8,9
57,113,89,264,248,84,129,83,44,30
4,7,12,13,14,2,8,7,1,1
27,48,63,129,121,49,72,37,20,22
1,1,2,7,7,0,0,2,1,0
6,8,10,23,20,8,6,6,0,1
0,0,0,2,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,1,0,3,3,1,1,0,0
1,0,1,1,2,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,2,0,2,0,0
0,0,0,1,0,0,1,0,0,0
1,1,1,0,2,1,0,0,0,0
0,0,1,3,0,1,1,3,1,1
8,13,13,31,21,12,10,10,4,1
11,18,18,47,40,16,20,8,5,2
36,69,57,156,151,46,63,34,14,15
9,12,17,34,29,9,16,12,4,0
14,20,24,64,62,23,38,23,5,7
7,11,10,33,35,8,17,6,4,0
3,13,5,15,16,0,6,5,1,3
0,3,4,3,4,1,2,2,1,0
0,0,2,3,2,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,2,1,1,1,0,0
0,1,0,0,1,1,0,1,0,0
0,3,0,3,1,2,0,0,0,0
1,0,1,1,2,2,3,0,0,0
2,3,6,6,5,3,5,2,0,0
0,1,3,5,6,2,2,0,4,1
0,6,4,6,8,2,3,1,1,1
1,2,4,8,3,2,4,3,0,0
2,2,2,4,2,3,1,3,1,0
4,11,6,27,28,7,11,4,2,0
15,25,26,52,45,22,14,10,7,3
11,14,21,43,48,8,13,9,4,1
19,36,30,79,55,17,39,21,2,4
6,14,15,32,32,11,19,9,2,3
13,20,13,38,48,13,17,6,2,0
6,12,15,35,40,13,15,13,5,0
0,10,8,13,19,5,6,4,3,1
3,3,8,30,17,5,6,5,1,0
3,3,1,20,11,3,6,0,1,1
1,2,0,1,2,2,1,0,0,0
1,3,1,6,6,1,1,0,0,0
1,0,0,2,3,0,3,0,0,1
1,0,0,2,4,0,3,0,0,0
1,1,2,0,2,2,3,0,0,0
