0,1,2,3,4,5,6,7,8,9
20,55,36,148,121,36,61,45,21,10
28,52,66,121,121,48,58,49,14,19
16,32,27,62,64,23,33,18,10,9
11,13,13,35,36,11,23,8,7,9
5,10,7,19,22,3,8,2,3,1
1,0,2,1,4,2,4,1,0,1
2,5,7,16,16,6,10,3,2,2
6,3,9,13,11,6,7,5,3,2
4,5,6,14,14,6,12,6,4,1
0,1,3,1,2,0,1,0,0,0
0,0,1,1,4,0,0,0,0,0
3,2,1,9,5,6,4,2,2,1
1,0,1,6,5,0,6,0,2,0
0,1,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,0,0,0,2,0,2,0,0,1
1,0,0,0,2,0,1,0,0,0
0,0,1,2,0,0,0,0,0,0
0,2,0,2,0,0,0,0,0,0
0,0,0,3,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0
1,5,2,6,4,4,3,2,0,0
1,7,8,15,23,4,5,5,4,1
2,3,6,12,13,6,13,4,1,1
2,2,2,2,4,1,2,2,0,0
2,3,4,10,8,1,3,2,2,0
5,9,7,15,21,7,2,3,1,1
5,16,14,33,23,7,16,8,0,1
0,1,2,6,2,1,2,1,0,0
8,16,14,33,40,12,13,11,1,2
4,9,9,26,17,7,9,11,5,0
15,18,20,50,42,25,18,14,11,6
3,9,10,11,18,9,7,5,1,3
0,3,2,6,5,1,0,2,0,0
6,20,20,33,39,10,12,6,2,5
4,4,5,18,15,2,14,1,3,1
0,7,6,14,7,3,6,1,1,0
6,12,7,19,21,6,8,9,2,3
6,8,8,31,24,5,18,4,3,2
4,7,5,14,14,5,4,2,2,1
9,6,14,37,23,5,18,4,5,2
6,5,3,25,22,4,4,3,7,2
6,6,8,17,22,8,6,9,2,1
0,4,0,5,8,2,1,0,2,0
0,0,1,0,3,0,0,1,0,0
4,0,1,1,3,2,3,1,0,0
0,0,0,3,1,0,4,1,0,0
1,1,1,1,0,0,0,0,0,0
2,2,0,1,3,0,1,0,0,0
