m,f
416,417
178,197
15,19
73,85
103,106
27,44
12,13
2,2
1,3
6,3
4,3
4,2
5,3
1,0
1,7
2,1
6,4
5,10
33,33
59,62
66,70
23,16
73,121
64,84
33,39
64,60
34,36
6,11
20,16
2,2
5,3
2,7
5,6
5,2
1,2
3,3
4,5
21,15
45,61
51,73
27,41
28,34
40,58
36,42
38,30
19,19
39,46
29,24
27,32
19,20
26,41
34,47
