0,1,2,3,4
416,284,139,30,10
130,69,25,13,4
184,129,62,18,6
98,69,33,10,1
33,25,12,3,2
39,25,5,4,1
6,4,2,0,0
3,4,3,1,0
12,3,5,5,0
4,0,2,1,0
1,1,1,2,0
2,3,1,0,0
1,3,2,0,0
3,2,3,0,0
1,1,0,0,0
0,0,0,0,0
4,2,0,0,0
3,1,1,0,0
2,3,2,0,2
3,2,2,0,0
0,0,0,0,0
3,3,2,0,0
3,2,1,1,0
4,3,2,1,0
4,0,2,0,0
5,1,0,0,0
3,3,3,0,0
4,3,2,0,1
13,7,6,1,0
8,5,1,2,0
54,34,14,5,1
32,23,15,3,0
29,24,8,5,0
52,24,3,5,1
137,94,40,7,4
127,73,38,6,2
92,59,26,6,3
110,62,33,5,1
14,9,4,5,0
138,103,49,13,4
20,22,6,3,0
5,4,3,0,0
22,21,7,3,0
6,7,3,1,1
3,3,0,0,0
5,2,2,0,0
4,1,2,0,0
1,0,0,0,0
1,1,1,0,0
0,1,1,1,1
5,3,1,0,0
4,3,2,1,0
