0,1,2,3,4
409,260,121,33,10
133,86,40,15,5
206,134,62,21,5
80,56,26,8,2
4,3,4,1,0
1,1,1,0,0
3,2,1,1,0
0,0,1,0,1
4,4,3,1,0
1,2,1,0,0
2,1,0,0,0
4,2,3,1,0
7,3,1,0,0
5,3,3,0,0
3,2,2,1,0
3,3,0,0,0
9,4,1,0,2
39,26,10,5,0
100,57,23,10,3
162,96,40,14,3
152,96,42,9,0
56,40,22,1,1
44,20,13,8,0
20,20,4,3,1
4,3,0,2,1
2,6,2,0,0
1,2,1,0,0
2,2,1,0,0
5,4,5,1,0
2,2,1,1,0
1,0,1,0,0
1,3,0,0,0
3,2,0,0,0
4,4,0,1,0
3,1,2,0,0
19,10,0,0,0
43,29,6,4,0
62,39,13,3,2
95,66,18,3,2
94,46,35,9,1
86,62,30,4,1
70,44,22,7,0
54,22,7,5,0
41,22,11,0,1
5,7,5,1,0
2,4,4,0,1
3,4,0,0,0
0,6,2,0,0
6,2,3,0,0
6,2,0,1,0
1,3,1,0,0
10,3,1,0,0
