0,1,2,3,4
21,20,7,10,3
20,15,6,4,2
4,4,2,0,0
8,8,8,4,2
30,30,15,8,3
5,3,4,1,1
1,4,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
2,2,1,0,0
0,0,0,0,0
5,2,3,0,0
8,8,1,2,0
13,9,5,2,1
8,6,1,1,0
3,2,1,0,0
9,3,4,1,0
2,1,2,1,0
0,0,0,0,0
2,0,2,1,0
6,4,4,2,1
3,0,1,0,0
9,5,1,0,3
13,5,8,2,1
7,9,6,1,0
2,1,1,0,0
7,2,1,1,2
2,0,0,0,1
2,1,0,1,1
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
