0,1,2,3,4
22,13,9,3,3
33,19,11,10,4
9,11,9,2,0
11,13,1,7,2
4,3,1,1,0
6,7,2,2,0
2,2,2,2,0
0,2,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
11,6,4,0,0
3,1,0,0,0
3,2,3,0,0
15,9,6,8,1
5,8,4,1,1
2,4,2,3,1
5,1,1,1,1
8,9,3,2,1
11,11,3,2,1
3,7,1,0,1
1,1,1,0,1
13,7,3,0,1
7,2,7,1,2
3,3,1,1,0
0,0,0,1,0
2,1,1,0,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
