0,1,2,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
44,28,11,5,0
34,19,8,1,1
44,18,17,4,0
232,160,87,16,2
105,72,36,6,1
69,43,15,7,1
99,64,16,3,1
87,68,26,8,2
64,31,15,3,0
33,16,14,2,1
25,15,4,3,1
3,5,1,2,0
5,1,0,0,0
3,2,3,0,0
2,2,1,1,0
3,2,1,0,0
2,1,0,0,0
1,1,2,0,0
3,6,0,1,0
4,2,3,0,0
2,0,1,0,0
3,0,0,0,0
0,5,1,1,0
5,1,0,0,0
2,1,1,0,0
2,1,1,0,0
6,1,1,0,0
1,2,2,0,0
2,3,1,0,0
1,2,2,0,0
1,0,1,1,0
3,1,0,1,0
5,2,0,0,0
2,3,0,1,0
3,2,2,2,0
21,12,5,3,0
29,22,13,3,0
65,44,18,3,0
77,50,13,5,1
49,32,10,3,0
73,38,20,1,0
54,24,18,4,1
27,16,6,1,0
49,32,16,6,1
60,44,14,3,0
36,21,13,1,0
36,25,14,3,0
53,37,18,1,0
