0,1,2,3,4
363,224,118,34,6
279,188,93,21,11
29,31,12,4,1
39,29,12,5,1
43,34,10,4,1
3,1,0,0,0
30,26,6,3,1
2,2,1,0,0
0,1,0,0,0
6,1,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,1,0
0,0,0,0,0
17,7,6,4,0
0,1,0,0,0
59,23,14,4,2
13,8,2,2,0
74,45,16,6,1
2,0,2,2,1
66,32,19,7,0
81,59,20,1,0
130,101,40,13,3
37,15,11,1,2
115,72,27,8,0
61,46,29,7,1
47,30,18,5,0
32,32,18,1,1
29,27,14,5,0
24,18,9,3,1
34,11,6,0,0
6,6,1,0,0
1,1,0,0,0
9,5,0,0,0
1,1,1,0,0
2,1,1,0,0
0,0,0,0,0
