0,1,2,3,4
389,290,107,36,6
277,173,92,25,9
147,89,37,16,8
91,53,45,9,0
1,3,2,0,0
6,4,1,0,0
5,2,2,0,0
4,2,1,1,0
0,2,3,1,0
6,2,0,1,0
3,3,2,1,0
2,2,1,0,0
1,0,0,0,0
1,1,0,0,0
4,1,2,1,1
1,0,0,0,0
5,4,2,1,0
28,22,15,1,0
129,78,27,9,1
103,52,26,6,2
148,88,44,14,1
117,69,32,5,1
47,29,14,5,0
13,13,9,1,2
15,6,4,0,0
2,6,4,1,0
3,2,2,0,0
6,3,0,0,0
0,2,0,0,0
3,5,1,0,0
3,3,1,0,0
5,2,1,0,0
3,1,1,0,0
0,5,0,1,0
5,3,6,1,1
25,15,8,1,1
61,45,19,6,0
93,62,30,5,1
126,75,31,7,2
95,52,24,7,0
63,38,17,3,0
30,18,8,2,1
33,25,11,3,0
5,2,1,0,0
10,11,1,1,0
3,0,2,0,0
6,2,1,0,0
1,0,1,0,0
5,4,1,0,0
3,5,1,0,0
4,5,1,1,0
4,4,4,0,0
