m,f
29,17
10,7
97,57
5,13
14,11
1,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,5
3,5
23,21
16,12
24,21
12,7
6,10
6,2
6,5
0,3
4,4
2,0
6,0
0,0
0,0
0,1
0,0
1,0
0,0
1,0
0,0
6,7
3,5
17,11
11,13
20,10
7,9
7,9
7,3
3,3
6,2
3,0
0,0
