m,f
326,361
118,145
113,111
162,146
121,109
96,110
5,3
3,2
4,5
0,0
4,4
5,2
0,3
4,4
3,2
0,2
4,3
3,6
0,1
3,1
3,4
3,7
3,5
3,1
0,1
6,7
4,3
13,22
28,29
7,8
22,30
55,62
35,46
42,55
63,66
85,116
138,138
88,93
18,10
54,57
73,90
46,62
19,16
38,30
4,3
0,5
6,6
6,4
4,3
2,4
2,7
7,6
