m,f
9,4
37,38
8,8
14,7
3,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
4,3
15,8
11,7
18,22
19,13
9,6
11,3
4,3
3,1
2,2
1,0
2,0
8,6
0,0
0,1
0,0
1,1
0,0
0,0
1,1
8,5
18,12
10,7
6,0
2,1
4,1
8,6
3,4
1,0
1,2
0,0
0,0
0,0
0,1
0,0
