0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
10,21,22,52,63,18,27,17,5,3
13,30,30,71,80,28,28,15,5,8
21,48,44,99,73,27,44,27,15,3
8,14,16,35,30,11,25,8,0,2
1,2,0,6,2,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0
0,2,0,1,2,0,0,1,0,0
0,1,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,3,0,2,1,0,1,0,0,1
0,0,1,2,2,1,1,0,0,0
0,1,0,3,0,1,2,0,0,0
0,1,0,1,2,1,1,0,1,0
0,1,3,1,1,2,1,2,0,0
3,5,6,15,13,9,4,4,0,0
10,15,12,37,48,10,23,10,0,2
15,33,24,67,64,22,23,9,11,3
15,27,28,63,62,13,36,13,3,4
6,19,12,39,13,5,8,9,1,0
3,9,6,17,12,9,6,5,0,1
0,4,10,6,11,0,8,0,1,0
0,0,5,1,4,0,2,0,0,0
0,1,0,0,2,0,0,0,0,0
0,1,0,1,2,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,2,0,1,0,0,0
1,0,0,3,3,0,0,1,0,0
0,0,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0
1,1,1,1,2,0,1,0,0,0
1,2,2,0,3,0,0,0,0,0
4,1,2,9,9,1,2,2,0,0
4,10,3,14,13,8,6,2,1,0
5,16,9,30,26,10,5,3,1,2
4,20,19,37,41,8,17,9,1,3
9,22,18,39,35,8,15,11,4,0
12,20,19,47,35,9,19,8,3,0
6,12,19,32,26,8,12,5,0,0
5,7,9,18,20,7,13,3,3,0
1,8,4,14,16,4,8,2,2,0
2,0,2,7,3,0,2,0,1,0
0,0,0,0,1,1,1,2,0,0
1,2,1,0,3,0,1,0,0,0
0,0,0,1,4,0,1,0,0,0
