0,1,2,3,4
44,27,18,9,4
18,10,11,2,2
15,6,1,1,1
10,4,8,5,2
6,4,4,2,1
4,7,2,1,0
5,2,0,0,0
6,2,1,0,0
0,0,0,0,0
2,1,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,2,2,2,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
5,4,0,0,0
7,3,3,0,1
3,2,1,2,1
3,3,2,2,0
14,10,4,2,3
13,13,10,4,0
3,1,4,0,0
7,8,4,1,1
8,6,1,0,0
4,2,1,0,1
9,3,2,1,0
2,4,5,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,4,0,0,1
0,0,0,0,0
0,1,0,0,0
3,4,0,3,0
1,1,3,0,0
0,1,0,2,0
0,0,0,0,0
