m,f
0,0
0,0
0,0
0,0
105,118
30,37
44,43
47,53
74,78
65,72
15,23
229,231
73,84
37,31
24,32
15,19
3,11
25,30
1,0
3,11
25,23
5,6
2,2
1,0
3,2
4,0
2,2
4,2
2,1
2,3
2,2
1,2
5,2
2,2
4,6
11,20
28,24
29,30
26,35
63,66
18,21
10,13
17,22
81,77
67,92
22,20
5,4
41,48
11,16
55,75
19,20
3,3
