m,f
476,507
271,306
39,41
10,8
2,4
1,5
0,1
5,4
0,3
2,1
1,0
4,6
0,3
1,2
0,2
2,0
10,7
48,43
134,199
164,197
91,127
54,57
44,35
17,7
8,4
30,27
56,49
36,62
3,10
4,6
2,5
6,7
2,2
7,8
18,20
66,92
128,158
90,129
73,95
71,72
45,50
13,15
1,5
8,10
41,34
49,67
20,29
2,6
3,4
2,3
3,5
5,10
