0,1,2,3,4,5,6,7,8,9,10
263,102,103,72,19,76,20,89,76,22,16
12,81,51,69,57,8,47,2,55,53,0
8,4,3,3,52,2,5,38,2,49,36
27,2,0,2,1,3,48,4,0,6,3
1,1,0,3,7,36,6,2,1,0,4
0,0,0,0,3,6,0,0,1,0,3
0,0,1,2,1,1,0,2,0,1,34
0,0,0,0,0,0,0,0,0,1,10
0,0,0,1,0,2,0,1,0,0,1
0,0,1,2,2,0,0,1,0,0,0
0,0,1,1,2,1,1,1,1,0,0
1,1,0,2,2,0,1,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,0,2,2,1,1
1,2,10,4,1,1,0,0,0,0,0
3,11,53,20,1,1,0,0,5,0,2
0,4,59,61,4,1,1,0,37,1,1
0,63,3,52,26,4,1,1,54,1,2
1,73,14,1,51,37,0,1,0,0,3
0,0,0,0,33,55,3,0,3,0,0
1,18,0,3,15,20,33,0,21,0,0
0,1,1,0,0,2,3,0,1,0,1
0,0,0,3,1,0,40,0,0,0,0
0,1,0,1,1,1,25,0,0,0,0
0,1,1,1,2,2,12,0,1,1,0
0,0,1,2,2,0,3,2,0,1,5
1,0,1,2,0,0,0,0,0,0,17
0,0,1,0,0,0,0,0,1,0,30
0,0,1,1,0,1,1,0,0,0,21
0,0,0,0,0,0,0,0,0,0,13
0,1,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,1,1
0,0,0,3,1,0,0,0,1,0,0
0,0,3,4,1,1,0,0,1,0,1
0,0,11,9,1,0,0,2,0,1,1
0,0,68,46,2,1,1,0,2,0,0
0,2,2,7,0,0,2,0,0,0,0
0,6,44,63,9,4,1,0,15,0,0
0,0,2,9,48,15,0,1,29,0,0
0,2,0,3,6,41,8,0,44,1,1
0,1,0,2,55,35,1,2,20,1,2
1,63,7,0,6,1,1,1,1,0,1
0,60,1,3,1,11,26,0,2,0,1
2,4,1,0,2,3,40,3,1,0,4
0,15,1,0,0,1,35,10,0,0,1
24,1,1,1,2,0,3,57,1,11,1
170,4,0,0,0,0,0,1,0,49,0
75,0,0,0,0,1,0,40,0,40,2
0,1,1,2,1,2,1,9,0,7,20
