0,1,2,3,4,5,6,7,8,9,10
2,147,1,89,113,3,73,91,2,69,61
3,1,107,55,19,2,51,0,0,47,1
1,42,0,1,0,2,7,35,0,5,30
6,0,58,0,0,2,1,0,0,0,6
3,0,3,0,0,77,0,0,78,0,4
291,0,0,0,0,40,0,0,40,0,0
0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,7,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0
0,12,0,75,7,0,0,0,0,0,0
0,110,3,16,0,0,0,0,0,0,6
0,71,10,3,0,0,0,0,0,0,23
0,1,0,1,0,0,0,0,0,0,1
0,2,27,1,24,4,0,0,0,0,40
0,0,0,1,62,0,0,0,0,0,19
0,1,0,0,39,0,0,0,0,0,8
0,1,57,0,0,8,0,0,0,0,3
0,1,47,0,0,34,0,0,0,0,2
0,0,0,0,0,1,0,0,0,0,0
0,0,13,0,2,51,0,0,2,0,0
0,0,0,0,0,27,0,0,0,0,0
0,0,1,0,0,4,0,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,51,0,0
0,0,0,0,0,0,38,0,0,0,0
0,0,0,0,0,0,39,0,45,0,0
0,0,0,0,0,0,24,0,1,1,0
0,1,0,2,0,0,13,0,13,0,0
0,0,0,0,0,0,4,0,0,6,0
0,1,0,5,0,0,0,0,3,0,0
0,1,0,24,1,0,0,0,1,0,1
0,8,1,61,0,0,0,0,0,0,8
0,47,0,40,0,0,0,0,0,39,27
0,84,0,3,0,0,0,2,0,58,18
0,0,0,1,0,0,0,17,0,15,1
0,26,0,0,4,0,0,0,0,0,22
0,0,0,0,17,0,0,70,1,9,0
0,15,0,0,0,0,0,1,0,1,5
0,0,0,0,40,0,0,44,1,0,0
0,1,0,0,0,0,0,1,0,0,0
0,1,2,0,49,0,1,0,0,0,0
0,0,0,0,17,0,7,9,0,0,0
