0,1,2,3,4
7,6,7,1,0
30,14,11,6,5
10,12,6,0,1
11,11,5,2,1
3,3,2,1,1
1,3,2,1,0
4,5,3,0,1
5,4,0,1,1
0,1,0,1,0
1,0,0,0,0
2,3,0,0,0
0,0,0,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
3,0,0,0,0
3,5,0,0,0
1,0,1,1,1
1,1,1,0,0
2,2,1,0,0
3,5,3,1,0
6,5,1,0,0
4,1,3,0,0
1,3,0,0,0
0,1,3,0,0
8,5,1,2,1
4,5,7,1,0
6,11,2,3,0
3,2,2,0,0
3,1,1,0,0
0,2,2,0,0
0,2,0,0,0
8,5,4,2,0
2,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,3,0,2,0
2,0,0,0,0
