m,f
465,534
30,30
259,245
7,13
43,41
0,3
0,2
1,1
1,0
0,0
1,0
4,5
2,4
0,0
4,3
0,2
1,5
3,8
49,53
77,89
258,301
69,62
104,135
49,64
33,24
10,8
4,3
0,1
3,2
1,3
6,3
7,3
17,14
7,13
12,15
11,14
10,7
47,44
84,102
70,79
106,152
60,64
76,82
75,64
20,38
29,38
18,26
1,8
6,10
7,3
7,3
6,4
