m,f
379,404
29,31
243,236
74,72
63,73
8,11
25,21
1,0
1,3
5,6
0,0
0,2
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
20,11
20,29
14,16
22,20
99,106
88,89
41,39
19,20
28,34
42,52
36,32
3,6
1,3
1,1
1,3
77,76
46,44
61,64
26,51
62,67
14,24
40,42
13,21
3,6
40,36
13,17
