m,f
0,0
0,0
0,0
0,0
0,0
41,44
64,88
51,50
8,5
66,67
54,44
26,28
27,39
136,137
48,45
30,33
8,5
3,3
1,4
3,1
46,60
16,18
3,0
48,49
21,24
5,5
27,17
71,83
47,49
4,10
7,9
6,5
1,4
4,8
2,6
11,9
27,25
16,23
7,10
13,5
11,16
25,36
9,13
4,6
20,22
24,29
26,29
10,6
9,14
34,43
23,30
1,5
