0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
266,2,0,2,4,1,2,1,1,1,2
34,111,105,87,88,53,88,40,86,58,19
0,79,54,45,45,61,42,63,43,50,40
0,4,0,9,5,7,1,23,2,18,31
0,0,0,0,0,0,0,1,0,0,7
0,1,0,0,1,0,1,1,1,0,4
0,0,1,0,0,1,0,0,0,0,0
0,0,2,2,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1,1
1,0,1,0,3,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,1,0,0,1
1,0,1,1,2,1,0,1,0,0,0
1,0,0,1,0,0,0,0,2,0,0
1,2,0,2,0,0,1,0,1,0,0
10,0,0,1,0,0,0,0,0,0,0
151,4,6,7,0,0,0,1,0,0,0
102,32,39,55,2,4,0,0,20,1,0
3,82,85,57,22,25,30,5,57,0,1
0,50,14,10,67,46,58,38,30,2,1
0,2,0,0,28,22,20,42,8,25,0
1,3,3,1,4,10,2,28,1,55,6
0,0,1,2,0,3,0,1,1,29,0
0,0,1,1,2,2,0,3,0,6,13
0,0,0,1,0,1,0,0,0,1,18
0,1,0,3,1,0,0,0,0,0,24
0,0,0,1,0,0,0,1,0,0,21
0,1,1,0,1,1,0,0,0,0,9
0,1,0,2,1,0,0,0,0,1,2
0,1,1,1,1,3,1,0,0,1,1
0,2,1,5,1,0,0,0,0,1,1
0,1,1,0,0,1,1,1,0,0,1
0,1,1,0,2,0,0,1,0,0,1
2,0,1,0,0,0,0,0,0,0,1
0,1,7,2,0,2,0,0,0,0,0
6,0,29,9,0,0,0,0,0,0,1
72,11,88,36,0,2,0,1,0,0,0
104,32,12,48,4,16,0,0,0,0,0
61,59,5,28,21,20,0,4,0,0,0
2,47,1,2,57,29,1,10,0,0,0
1,10,2,4,27,22,1,28,0,0,0
0,2,0,2,3,11,12,45,8,0,1
0,0,0,1,1,1,29,14,42,6,0
0,0,0,0,1,0,39,2,49,25,2
