m,f
0,0
0,0
0,0
0,0
0,3
140,142
370,399
247,275
51,49
1,7
5,4
1,1
1,6
2,1
0,0
2,5
3,3
1,4
1,0
5,2
3,4
2,2
2,5
5,6
87,82
114,141
170,197
154,162
62,85
63,51
16,21
10,18
11,10
10,19
12,11
5,8
3,4
3,7
10,1
3,3
3,3
3,1
6,6
25,20
95,115
103,113
87,111
59,90
40,55
33,51
44,50
58,60
