m,f
183,230
123,122
27,20
41,47
7,9
1,4
6,2
6,6
210,207
45,51
43,50
9,15
6,1
8,3
4,5
5,5
2,6
2,3
0,1
7,3
3,1
72,62
9,10
27,30
53,72
5,3
10,8
6,1
4,2
2,3
4,2
0,0
0,0
3,2
3,7
0,0
0,2
0,1
3,5
3,6
5,1
7,2
11,11
37,38
16,39
17,3
2,2
1,2
3,2
4,3
0,3
0,1
