0,1,2,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,53,17,6,1
191,126,45,12,6
222,131,62,19,0
55,32,22,4,0
17,9,4,1,0
3,0,1,0,0
0,3,1,1,0
4,1,3,0,0
2,1,1,0,0
4,4,0,0,0
1,0,3,0,0
3,3,2,1,0
1,2,1,0,0
4,2,0,1,0
1,1,0,1,0
34,13,10,3,1
24,19,16,4,0
41,14,14,3,1
162,116,61,10,3
87,67,25,2,2
91,49,21,9,1
56,30,7,1,1
42,28,9,3,0
27,17,8,2,0
25,32,12,3,0
51,37,14,2,0
94,49,24,6,0
51,34,13,1,0
16,8,3,2,0
0,3,1,0,0
2,1,2,0,0
1,1,1,1,0
5,3,1,1,0
2,2,1,0,0
5,3,1,0,0
6,0,1,0,0
11,8,5,0,0
32,20,9,2,1
46,32,10,4,1
47,25,8,3,0
86,31,18,8,2
27,21,4,0,0
16,13,8,3,0
4,5,3,1,0
28,20,5,1,0
20,10,2,1,0
26,15,10,3,0
41,32,11,2,0
