0,1,2,3,4
16,12,6,2,1
24,16,11,6,1
3,2,3,0,0
4,10,3,1,0
7,0,4,1,0
2,2,0,2,1
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,5,2,0,0
10,5,3,2,0
9,8,8,3,2
7,5,3,3,2
18,17,10,6,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
3,1,3,0,0
5,3,2,0,0
6,2,4,1,0
6,2,2,0,0
0,0,1,1,0
3,0,1,1,0
3,1,2,2,0
3,4,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
