m,f
826,852
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
201,228
147,152
6,11
5,7
4,3
3,2
3,1
4,1
4,2
0,2
16,15
78,93
78,74
19,12
3,1
4,6
1,2
16,19
61,58
64,64
201,238
59,89
43,60
63,69
12,12
5,1
2,1
2,3
0,0
6,4
1,6
3,3
3,4
7,10
4,10
12,16
