0,1,2,3,4,5,6,7,8,9,10
36,10,18,14,0,11,0,7,10,0,0
3,0,7,3,12,11,9,0,0,4,6
0,15,1,1,1,1,0,10,7,0,0
0,0,0,0,11,0,6,0,3,7,0
0,2,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,5
0,0,0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0
0,0,0,9,0,6,0,0,1,0,0
0,0,8,1,2,6,1,0,6,0,0
0,0,7,8,0,7,0,0,0,0,0
0,0,2,0,10,0,0,0,2,0,0
0,0,1,0,8,0,3,0,0,0,3
0,0,0,0,2,1,7,0,0,0,1
0,0,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,1,0,6
0,0,0,0,0,0,0,0,0,0,2
0,7,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0
0,0,6,0,0,5,0,0,0,0,1
0,0,7,0,0,1,0,0,0,0,0
0,0,0,3,2,9,0,0,0,0,0
0,0,0,6,7,3,1,0,0,0,2
0,0,0,3,1,0,0,1,0,0,2
18,0,0,0,0,0,1,8,0,0,2
2,0,0,1,0,0,7,0,0,0,2
2,0,0,0,0,0,2,10,2,0,3
1,0,0,1,1,0,7,0,6,0,0
2,0,0,0,0,0,5,0,0,0,0
1,0,0,0,0,0,0,0,5,0,0
19,1,0,0,0,0,0,3,0,8,1
