0,1,2,3,4
15,6,4,3,1
26,18,11,6,1
17,13,9,4,1
9,5,6,2,0
14,15,6,3,1
4,2,2,0,1
2,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,3,1,0,0
6,0,0,0,1
5,2,0,1,0
4,3,1,0,0
6,4,4,2,0
10,6,4,2,1
12,10,7,1,0
13,8,4,1,0
1,1,1,0,0
3,3,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,3,0,0,0
2,3,2,1,0
5,2,0,1,0
4,6,2,0,0
5,3,1,1,0
2,6,0,1,0
8,4,2,0,0
1,2,1,2,0
5,8,4,0,0
1,0,0,0,0
3,4,0,0,0
