0,1,2,3,4,5,6,7,8,9,10
0,0,3,5,0,0,0,0,0,0,0
0,0,22,2,0,0,0,0,1,1,0
0,0,0,2,0,2,0,3,2,13,0
15,0,1,10,0,17,0,3,0,1,1
5,0,1,0,0,8,0,0,15,1,11
4,0,0,0,0,1,0,0,3,0,4
1,0,1,0,0,0,2,0,0,0,0
3,8,0,2,0,0,1,0,0,0,0
1,15,0,0,4,0,0,9,0,0,0
22,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,2
0,0,0,0,12,5,14,0,0,0,7
0,0,0,0,1,5,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
0,0,0,8,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,3,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,3,0,0,0,1,0
