0,1,2,3,4,5,6,7,8,9
1,0,1,5,5,2,4,3,6,5
0,0,2,2,4,1,5,0,0,4
2,7,8,29,21,13,13,16,10,11
0,0,3,7,2,3,1,1,1,2
0,2,0,1,3,0,2,3,3,2
1,0,0,0,3,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,3,0,0
0,0,2,2,2,1,0,2,1,1
0,2,3,5,14,2,7,7,4,2
1,4,3,5,3,2,7,8,3,7
2,3,1,9,4,5,6,5,2,4
0,1,1,8,9,3,6,5,1,1
2,0,1,3,2,1,3,3,1,0
0,0,0,3,4,0,2,2,2,0
0,0,0,0,0,0,0,0,2,0
0,0,1,3,0,1,3,0,0,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
0,1,0,2,3,1,1,0,0,0
2,2,2,4,6,0,5,6,5,0
0,0,1,2,7,0,4,2,0,1
2,1,4,0,5,2,1,3,0,3
1,1,0,3,2,1,2,1,2,1
1,0,2,3,2,2,2,3,0,1
0,2,1,6,3,3,3,4,0,1
0,0,0,0,2,1,0,3,0,0
1,1,1,3,3,0,3,2,2,1
0,2,0,4,0,1,0,0,1,0
0,3,2,2,4,1,7,1,1,0
0,1,0,2,2,3,0,1,0,1
0,0,0,0,1,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0
