0,1,2,3,4
809,539,253,79,20
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
79,41,21,7,1
112,62,29,9,1
94,64,24,5,1
54,29,11,0,0
60,47,18,3,2
69,47,20,10,0
38,29,6,2,2
51,25,8,4,0
0,2,0,0,0
17,6,7,1,0
4,0,1,0,1
1,2,1,1,0
1,0,0,0,0
1,1,0,0,0
9,10,3,0,1
7,3,1,0,0
4,1,1,0,0
4,1,2,1,0
46,28,12,5,0
102,47,23,5,0
67,38,14,1,1
62,56,31,9,1
41,30,15,1,0
16,8,5,1,0
47,24,9,2,0
22,17,7,0,0
65,59,21,1,2
176,101,49,14,0
8,1,2,1,0
13,22,0,2,0
16,6,5,1,0
20,21,9,0,1
23,19,10,1,0
6,3,1,2,0
2,0,3,2,0
4,1,0,0,0
