0,1,2,3,4,5,6,7,8,9
14,35,32,80,63,23,35,28,7,7
7,11,10,21,31,9,12,8,3,3
1,3,1,3,6,3,1,2,1,0
22,42,42,116,97,33,65,25,16,16
8,13,16,36,29,10,17,7,7,5
1,7,1,10,16,5,8,2,2,2
0,1,1,2,4,1,2,0,0,0
8,12,17,23,31,10,17,9,7,3
17,23,28,59,56,28,22,19,8,8
0,0,0,1,0,0,1,1,0,0
0,0,0,0,2,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0
0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,3,3,1,1,0,0,0
1,1,2,3,4,1,5,0,0,0
2,5,5,9,9,2,2,2,2,1
1,8,4,19,9,12,7,3,1,2
9,22,14,43,36,8,20,13,0,3
4,5,4,28,20,4,11,7,6,1
4,10,14,19,19,4,4,5,3,5
1,2,1,6,5,1,1,3,1,0
4,12,17,35,33,7,17,8,3,1
6,6,8,12,17,7,6,5,0,0
6,7,17,21,23,7,13,8,2,2
6,7,15,28,36,8,20,9,4,3
0,0,2,0,1,0,2,0,0,0
10,13,13,31,18,10,9,8,5,0
0,0,0,1,0,0,0,0,0,0
6,15,13,34,28,10,19,8,2,1
0,1,1,1,0,0,1,0,0,0
4,9,1,17,17,4,6,5,2,5
0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,0,0
1,1,1,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0
0,2,1,2,0,0,2,1,0,0
0,0,0,0,1,0,0,0,0,0
3,5,4,12,9,4,2,1,0,0
5,9,11,20,22,8,9,3,2,1
3,6,9,16,12,1,7,0,1,0
1,3,1,8,4,1,4,2,0,0
0,0,0,5,1,0,0,1,0,0
0,0,4,1,0,0,2,1,0,0
1,2,3,10,4,3,1,1,1,0
4,10,9,25,24,7,7,14,0,0
7,11,12,21,25,7,10,10,2,1
3,3,4,8,11,2,2,3,0,1
