0,1,2,3,4
294,185,100,22,6
313,220,102,35,8
118,92,32,9,6
79,42,25,10,1
11,9,3,2,0
7,5,2,1,0
6,5,0,1,1
6,5,2,1,0
28,25,4,0,1
4,3,0,0,0
0,2,0,0,0
66,29,14,6,1
9,9,4,1,0
0,3,0,0,0
4,1,0,0,0
6,2,0,0,0
4,2,0,0,0
0,0,0,1,0
2,2,2,1,0
2,2,0,0,0
1,0,0,0,0
3,0,1,1,0
4,2,6,1,0
15,14,3,1,0
47,15,12,3,0
30,24,8,0,0
30,23,13,3,0
11,7,5,1,0
31,18,12,0,0
66,35,17,5,0
41,37,16,5,2
2,5,2,1,0
20,14,7,1,1
37,22,14,1,0
16,13,9,1,0
26,18,8,2,1
104,66,27,7,1
45,30,18,3,1
63,41,18,6,0
25,16,7,1,0
26,24,6,1,1
7,12,5,1,2
10,5,2,1,0
15,11,4,0,0
42,27,21,5,0
24,14,10,3,0
74,40,6,5,1
35,21,8,5,0
8,1,0,1,0
8,9,3,1,0
19,11,10,2,0
82,66,23,7,2
