0,1,2,3,4
11,3,5,1,2
12,15,6,4,2
25,17,14,3,0
8,5,3,2,1
5,13,5,3,0
11,3,3,1,0
2,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
5,3,6,0,1
6,1,0,1,0
2,2,0,1,0
0,1,0,0,0
7,16,4,1,0
2,3,0,3,0
2,2,1,0,0
0,0,0,0,0
1,0,1,1,0
7,3,1,0,0
5,4,2,0,0
7,6,2,2,0
7,2,2,0,0
2,1,1,1,0
1,0,0,0,0
8,3,7,0,0
1,1,0,1,0
2,6,3,1,0
0,2,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
