0,1,2,3,4,5,6,7,8,9,10
25,31,74,29,15,57,22,68,68,63,14
0,143,102,1,61,62,0,71,4,62,37
0,7,3,98,71,30,0,7,63,1,53
0,36,5,2,6,1,74,2,5,15,4
2,0,1,3,0,0,51,1,0,1,12
257,2,0,3,1,0,1,2,1,0,0
9,0,1,2,0,2,0,1,2,0,1
10,0,1,4,1,2,0,0,7,0,0
43,0,1,2,0,0,0,0,0,0,0
1,0,0,25,2,0,0,0,1,0,0
0,0,0,0,0,1,0,3,0,0,1
0,0,0,2,0,0,0,0,2,0,0
1,1,0,1,0,0,0,1,0,0,0
0,1,0,2,2,1,0,1,1,1,1
0,1,1,2,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
0,0,1,2,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1
0,0,1,0,2,1,0,0,2,2,0
0,1,3,1,1,0,0,0,1,1,0
0,1,3,0,1,1,0,0,0,2,0
0,3,0,2,0,0,1,0,1,0,0
0,1,0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,4,1,0,1,0,0,2
0,11,0,0,0,1,0,0,0,0,0
0,3,8,1,0,2,1,1,0,2,0
0,95,72,0,0,0,1,0,0,0,1
0,8,73,2,1,1,0,0,1,0,14
0,66,14,1,0,4,1,1,0,0,34
0,11,2,0,0,17,0,2,0,0,1
0,4,2,0,0,59,0,1,0,5,30
0,1,0,2,0,43,3,0,0,2,2
0,0,0,0,0,0,9,25,1,43,16
0,0,0,0,0,0,49,4,3,2,1
2,0,0,0,0,0,4,4,2,2,8
1,0,2,0,0,0,3,58,16,4,5
0,0,0,0,0,0,1,5,2,51,0
1,0,1,0,0,0,41,2,0,13,0
0,0,1,4,0,7,1,3,4,1,0
0,0,1,0,0,0,21,29,65,1,0
0,1,1,2,2,0,1,5,42,1,2
0,1,0,2,7,3,0,1,5,0,1
2,0,2,0,15,1,0,4,0,1,0
17,2,0,7,22,2,1,0,2,0,0
223,3,0,62,51,0,0,1,0,0,2
65,0,0,11,37,1,2,0,1,0,1
1,1,0,2,0,0,1,1,1,0,0
0,1,1,4,9,0,1,2,2,0,1
