0,1,2,3,4
428,263,129,34,10
194,141,65,17,4
42,26,15,9,0
72,48,12,12,2
35,33,12,2,1
7,4,8,1,0
3,3,2,1,1
0,1,0,0,0
0,1,1,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
2,1,0,0,0
0,0,0,0,0
1,1,0,0,0
12,2,3,1,1
46,29,10,1,1
50,27,17,3,1
97,50,21,5,1
39,33,17,2,1
143,85,49,10,0
49,27,6,3,1
30,27,9,5,0
23,19,2,3,0
25,9,10,0,0
28,21,3,3,1
41,14,12,6,1
19,9,7,3,0
4,3,2,1,0
0,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
3,1,2,0,0
22,4,6,0,1
67,31,15,1,0
57,34,15,4,0
39,36,8,3,1
95,48,33,4,0
59,27,12,4,0
62,50,14,8,1
19,12,3,2,0
43,26,12,4,1
10,4,1,0,0
43,22,12,7,0
29,17,5,3,1
1,1,4,1,0
6,3,0,1,0
2,0,1,0,0
