0,1,2,3,4,5,6,7,8,9,10
300,140,140,117,104,88,99,58,103,70,24
0,2,1,1,0,0,0,0,1,2,54
5,45,25,27,27,46,20,69,20,45,0
0,0,0,0,0,0,0,0,0,0,23
0,0,0,1,1,6,0,7,0,10,0
0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
29,0,0,1,0,0,0,1,0,0,0
216,8,12,15,0,0,4,0,4,0,0
1,61,73,70,8,2,40,15,36,0,0
56,95,3,0,43,5,0,54,60,3,0
0,2,66,53,69,32,76,0,0,35,0
1,30,1,0,0,54,0,43,26,0,5
0,0,4,4,23,0,13,0,0,55,7
0,1,0,0,0,20,0,15,7,1,23
0,0,1,0,0,10,1,0,0,26,21
0,0,2,0,1,1,0,1,1,0,0
0,0,0,0,1,0,0,0,0,6,23
0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7
0,1,0,2,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
10,0,1,1,1,0,0,0,0,0,0
119,2,5,19,0,1,0,0,0,0,0
3,16,57,53,1,1,0,0,0,0,0
100,39,82,0,5,8,0,2,0,0,1
0,65,0,46,33,16,0,4,0,0,0
40,1,5,0,69,29,0,17,0,0,0
0,46,3,15,0,38,3,42,0,0,0
0,0,1,2,17,0,17,0,14,10,0
1,5,1,2,0,13,41,41,56,32,0
0,0,0,1,2,8,0,1,0,0,3
0,0,0,0,1,0,43,13,42,50,10
0,0,0,0,1,0,0,1,0,1,29
0,0,0,1,0,0,9,1,8,25,2
0,0,0,1,0,1,0,0,0,0,40
0,0,0,0,0,0,0,0,0,2,0
0,0,1,1,0,0,1,0,0,0,12
