0,1,2,3,4
242,161,71,26,8
142,95,59,12,2
60,47,18,1,2
50,35,18,8,2
0,5,0,1,0
7,5,3,0,0
2,2,0,0,0
3,1,0,0,0
1,0,1,0,0
1,3,1,0,0
4,3,1,2,0
5,1,1,1,0
4,2,1,0,0
2,2,1,0,0
4,2,0,0,0
150,97,56,17,5
30,17,7,3,0
6,3,2,0,1
31,18,8,4,0
14,4,7,2,0
56,51,18,2,1
94,62,23,6,2
74,45,28,4,2
28,19,5,3,0
51,22,16,3,0
0,1,3,0,0
12,9,1,1,1
0,0,0,0,0
1,0,0,0,0
4,0,0,0,0
1,0,2,0,0
1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
2,1,0,0,0
45,38,7,5,3
2,1,0,1,0
5,1,1,0,0
18,7,8,2,1
43,30,10,1,2
31,15,2,1,1
93,50,29,4,1
79,49,23,1,0
9,13,5,1,1
45,22,15,0,1
0,0,1,0,0
12,11,1,3,0
4,5,1,1,1
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
